id,domain,utterance
train-560,calendar,Delete buying a piano from Wednesday's schedule
train-561,lighting_control,Turn off all lights on floor 2 and floor 1
train-562,lighting_control,Change the 3rd floor and top floor colors from grey to brown
train-563,workforce_management,Change Darrick's manager from Amelia to Jeannine
train-564,container_management,Unload the container in terminal two
train-565,messenger,"Add chat group with Amanda, Andrew, Brian, and 3 participants"
train-566,calendar,Delete getting a haircut from the schedule
train-567,file_manager,"Move the red line to the top of ""fun"""
train-568,calendar,Change volleyball on Wednesday to blue
train-569,file_manager,Move the red car line below the black car line and red sarah below black laptop
train-570,messenger,"Remove all groups, except the Andrew, Kevin, Sarah group"
train-571,file_manager,"Move ""dog7142"" above dog7402 and ""jake0254"" below it"
train-572,list,"Remove numbers 4,19, 7, and 15"
train-573,list,Move number 14 to the bottom
train-574,list,Remove number 18
train-575,list,Move 8 above 19
train-576,container_management,Remove the three shortest bars
train-577,list,Remove all red numbers
train-578,messenger,"Mute two chat groups - the group with Jessica and Brian only, and the group with Amanda, Jessica, and Adam in it"
train-579,lighting_control,turn on all lights on floors 1 and 2
train-580,lighting_control,turn off the third floor bathroom light
train-581,messenger,"Remove all groups, except the Jessica, Andrew, kevin group"
train-582,list,move 6 to the top of the list
train-583,file_manager,Move red highlighted files into the work directory
train-584,file_manager,Delete all files not of the Image type
train-585,lighting_control,Turn off all lights on all floors
train-586,calendar,Cancel shopping on Wednesday
train-587,file_manager,Delete all the red lines
train-588,file_manager,"Delete file car4752 from directory ""college"""
train-589,messenger,create a group with amanda and sarah
train-590,file_manager,"delete the files ""laptop2386"" and ""laptop6911"" from the directory marked ""work"""
train-591,messenger,"Unmute chat group with Kevin, Brian, Adam and 8 participants"
train-592,list,Move number 3 to the bottom
train-593,lighting_control,Turn on all the lights on floor 1 and 2
train-594,messenger,"Unmute chat group with Robert, Brian, and Jessica and 10 Participants"
train-595,list,move 2 to the top of the list
train-596,calendar,change working out to black
train-597,workforce_management,"Change the salary for Shenika from 82,925 to 91,564"
train-598,lighting_control,Turn all of the lights on on the first floor and second floor
train-599,workforce_management,Delete employees Leeanne and Pilar
train-600,workforce_management,give rueben a developer position
train-601,lighting_control,Turn off all the lights on the first floor
train-602,file_manager,Move all files to the Fun directory
train-603,list,Move the 3 from the bottom to the top
train-604,lighting_control,Turn off all lights on all floors except living room on floor 4
train-605,calendar,Delete all my Thursday appointments
train-606,list,Move number 17 to the bottom
train-607,workforce_management,"Increase Jeramiahs salary to 64,678"
train-608,file_manager,"Move the red line to the end of ""college"""
train-609,lighting_control,turn off the third floor lights
train-610,file_manager,Move car6708.pdf to the Work directory
train-611,workforce_management,remove raegan
train-612,file_manager,"Delete file jake2148 from directory ""work"""
train-613,container_management,Remove the loaded containers in the first and second terminals
train-614,container_management,Can you please load the two out of three containers that are currently unloaded?
train-615,lighting_control,turn off all the lights on the second and third floors
train-616,container_management,The first line should be blue and the third line should be blue too
train-617,lighting_control,turn off all lights on floor 3
train-618,messenger,Mute contact group Sarah and Kevin
train-619,messenger,"Remove the five person chat group with Robert, Amy, and Brian"
train-620,lighting_control,Turn on all the lights on floor 3
train-621,messenger,Delete the chat group with 8 participants
train-622,lighting_control,turn on every light in the house
train-623,workforce_management,Change Vivian's manager from Dina to Timothy
train-624,workforce_management,"Fire Breann, Lynette and Salena"
train-625,lighting_control,turn off all the lights in every room
train-626,list,Move the 18 to the bottom of the list
train-627,list,Move the second number to the top
train-628,file_manager,Move the image file from the Work directory to the Vacation directory
train-629,container_management,Remove the bottom and the top bars
train-630,container_management,Load the container in terminal one
train-631,workforce_management,change shawnta's salary to 47839
train-632,messenger,"Add group with Brian, Amy, Robert, and 3 participants"
train-633,lighting_control,turn all the lights on on the second floor
train-634,file_manager,"move the dog4283, laptop9648 and task6738 into the directory labeled ""fun"""
train-635,container_management,Remove the four longest bars
train-636,messenger,"Remove the Brian, Amanda group"
train-637,messenger,"Remove group with Jessica, Stacy, 5 participants"
train-638,messenger,mute all chats
train-639,messenger,"Mute the chat group with Robert, Brian and Sarah and mute the chat group with Sarah, Jessica and Amanda"
train-640,list,Move the number 1 from the second to last place in the list to the top of the list
train-641,lighting_control,turn all lights on except for in the third floor dining room
train-642,list,Move number 4 to the top
train-643,messenger,unmute all chat groups
train-644,workforce_management,"Increase Tarahs salary to 56,392"
train-645,container_management,Load the container in terminal three
train-646,list,remove 19
train-647,calendar,Delete volleyball from Thursday's schedule
train-648,messenger,"add a chat group with jessica, andrew, and robert"
train-649,lighting_control,"Turn on all the lights on floor 3, 2, and 1"
train-650,workforce_management,change annabel's manager to kristy
train-651,workforce_management,Make Angella the manager of Tracie and Latrice
train-652,messenger,mute my second chat group
train-653,lighting_control,Turn on all lights on floor 2 and floor 1
train-654,file_manager,Delete jake6654 from Work directory
train-655,calendar,Delete all scheduled events except the meeting
train-656,list,Delete numbers 2 and 1 from the list
train-657,lighting_control,Turn on dining room light on floor 2
train-658,lighting_control,turn the lights on in every room on the first and second floors
train-659,workforce_management,remove everyone but lenny
train-660,messenger,mute my first group
train-661,messenger,Remove the mute from the chat group with 10 participants
train-662,messenger,"make a group with amanda, andrew, and brian"
train-663,messenger,"Mute the chat group with Jessica, Sarah, and Andrew in it (the one with 10 people)"
train-664,calendar,Change Wednesday's volleyball event color from red to black
train-665,list,Remove the number 1 from the list
train-666,container_management,Remove the containers in the first and fourth terminals
train-667,messenger,"Remove group with Amanda, Brian, Jessica, and 6 participants"
train-668,workforce_management,Delete the row for Lakenya
train-669,calendar,Delete Wednesday's items from the schedule
train-670,calendar,Remove all my Thursday appoinments
train-671,container_management,Make both of the gray lines blue
train-672,messenger,Add a new group with Sarah and Brian as the only participants
train-673,lighting_control,"On floor 1 turn the living room light on, then go to floor 4 and turn the bedroom light on"
train-674,workforce_management,make laurie's salary 62436
train-675,calendar,change the meeting event to red
train-676,workforce_management,change joanie's salary to 93328
train-677,file_manager,"delete the files named ""jake8729"" and ""sarah9807"" from the directory ""fun"""
train-678,lighting_control,turn off all the lights on the first and second floors
train-679,lighting_control,Turn off the bathroom and hall lights on floor 3
train-680,list,Move number 1 to the top of the list
train-681,file_manager,"Move the file dog2152 to the ""College"" directory so that it is the first file, and then move the file task7623 to the same directory so that it is the last file"
train-682,file_manager,Delete the red line
train-683,lighting_control,Turn off the lights on floor 2 and floor 1
train-684,container_management,Load the container in terminals two and three
train-685,calendar,Change buying a piano's event color to red
train-686,messenger,"Add chat group with Jessica, Andrew, Sarah, and 3 participants"
train-687,container_management,Remove the loaded container from the first terminal
train-688,workforce_management,Fire Errol
train-689,calendar,Remove buying office supplies from Wednesday's schedule
train-690,messenger,"Mute the Andrew, Kevin group"
train-691,messenger,mute my first chat group
train-692,list,Remove numbers 11 and 9
train-693,messenger,"Make a new chat group with Jessica, Robert, and Brian in it"
train-694,container_management,Load the containers in the first and third terminals
train-695,messenger,"Mute the Sarah, Jessica, Andrew group"
train-696,file_manager,Delete task9114.pdf in the College directory
train-697,file_manager,Delete all files that have been highlighted in red
train-698,lighting_control,Turn off all lights on floor 2 and floor 3
train-699,calendar,Delete shopping on the 10th
train-700,messenger,mute all chat groups
train-701,container_management,Unload all of the containers
train-702,container_management,Load every container except the second container from the bottom
train-703,lighting_control,Turn off all the lights on the top floor and third floor
train-704,messenger,"Mute chat group with Sarah, Adam, and 5 participants"
train-705,calendar,Delete my 18:00 appointment on Thursday
train-706,list,Remove number 20
train-707,list,Move 15 to the top of the list
